Gene	Cancer	Corr	Pvalue	FDR	Significance	Pathway	Genes	GeneOrder	GeneOrder2
NFE2L2	PAAD	-0.183803617	0.019598083	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	PCPG	0.226972118	0.001837074	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	PCPG	-0.115231084	0.117250267	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	PCPG	0.002774035	0.970004978	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	PRAD	0.165684767	0.000104121	0.138793917	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	PRAD	0.155882838	0.000259072	0.345342982	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	PRAD	-0.482025963	4.68E-33	6.24E-30	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	SARC	0.018080832	0.771544461	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	SARC	0.201935316	0.001059557	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	SARC	-0.121031055	0.051255367	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	SKCM	0.160941829	0.000441537	0.588569067	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	SKCM	-0.249905888	3.62E-08	4.83E-05	2	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	SKCM	-0.034548634	0.453344829	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	STAD	0.217574892	4.79E-06	0.006384886	2	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	STAD	0.092023134	0.054874278	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	STAD	-0.216384758	5.41E-06	0.00720895	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	TGCT	-0.042982824	0.595008085	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	TGCT	-0.309471174	9.64E-05	0.12843522	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	TGCT	-0.564374335	0	0	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	THCA	0.082136716	0.050605764	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	THCA	0.082867083	0.04858109	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	THCA	-0.089008435	0.034092354	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	THYM	0.235135698	0.009268159	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	THYM	0.270923036	0.002621243	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	THYM	-0.64921139	0	0	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	UCEC	0.070703463	0.321966595	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	UCEC	0.200854295	0.004612488	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	UCEC	-0.322006124	4.21E-06	0.005613158	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	UCS	0.115309826	0.392000332	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	UCS	0.258296604	0.05265152	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	UCS	-0.183043816	0.172500163	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	UVM	0.469385842	1.43E-05	0.019019251	2	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	UVM	-0.231622128	0.038925108	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	UVM	0.506422879	2.32E-06	0.00309335	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
AKT1	ACC	-0.087722404	0.444240379	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	ACC	0.31066402	0.005820252	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	ACC	-0.334235385	0.002916079	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	ACC	-0.067590637	0.555791293	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	ACC	-0.260992172	0.021257238	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	ACC	0.044120437	0.700744592	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	BLCA	0.046515721	0.339894931	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	BLCA	0.075990628	0.118606421	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	BLCA	-0.310440334	8.42E-11	1.12E-07	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	BLCA	0.0615321	0.20650641	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	BLCA	-0.180049125	0.000201738	0.268916521	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	BLCA	-0.215844347	7.50E-06	0.009995123	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	BRCA	0.069201842	0.017068472	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	BRCA	0.023956278	0.409394749	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	BRCA	-0.36992614	7.85E-40	1.05E-36	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	BRCA	-0.069997152	0.015835156	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	BRCA	-0.406603541	1.63E-48	2.18E-45	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	BRCA	-0.292535096	7.16E-25	9.55E-22	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	CESC	0.110222527	0.054128784	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	CESC	0.150946363	0.008223726	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	CESC	-0.182005639	0.001408267	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	CESC	0.131827905	0.021132417	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	CESC	-0.091089828	0.111756956	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	CESC	-0.038780329	0.498918615	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	CHOL	-0.311462451	0.037734792	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	CHOL	-0.331093544	0.026795892	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	CHOL	0.238208169	0.114992785	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	CHOL	-0.138735178	0.362208542	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	CHOL	-0.560737813	8.20E-05	0.109283805	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	CHOL	-0.544795784	0.000139904	0.186492037	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	CRC	0.015793512	0.747782562	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	CRC	0.113601367	0.020321509	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	CRC	-0.570980279	0	0	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	CRC	-0.356358395	6.24E-14	8.32E-11	2	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	CRC	-0.276267797	1.11E-08	1.48E-05	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	CRC	-0.380095647	6.71E-16	8.95E-13	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	DLBC	-0.101172384	0.492640162	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	DLBC	0.165436387	0.260243722	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	DLBC	-0.259769865	0.074770047	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	DLBC	0.131784629	0.370770341	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	DLBC	-0.195831524	0.181698919	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	DLBC	0.285171515	0.049809874	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	ESCA	-0.060099621	0.40605967	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	ESCA	0.093252564	0.196903285	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	ESCA	-0.181535775	0.011606523	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	ESCA	-0.080748224	0.264026171	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	ESCA	-0.213056194	0.002984085	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	ESCA	-0.346748115	7.81E-07	0.001041297	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	GBM	0.475171844	4.34E-11	5.78E-08	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	GBM	0.428263903	5.36E-09	7.14E-06	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	GBM	-0.041072923	0.590158937	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	GBM	0.105143085	0.167197443	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	GBM	0.008652866	0.909695897	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	GBM	-0.434145619	3.14E-09	4.19E-06	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	HNSC	-0.036527051	0.388278072	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	HNSC	-0.205525254	9.87E-07	0.001315689	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	HNSC	-0.0787892	0.062444555	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	HNSC	0.030103002	0.477005969	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	HNSC	-0.269114538	1.14E-10	1.51E-07	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	HNSC	-0.254489564	9.98E-10	1.33E-06	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	KICH	0.27504256	0.009282391	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	KICH	0.304443309	0.003856715	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	KICH	-0.162700034	0.127522121	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	KICH	0.089155601	0.405354142	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	KICH	-0.343139258	0.001059863	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	KICH	-0.334984678	0.001410121	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	KIRC	0.042320262	0.306018635	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	KIRC	-0.062427895	0.13085011	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	KIRC	-0.050238272	0.224160791	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	KIRC	-0.012618304	0.760306894	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	KIRC	-0.033572592	0.416740726	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	KIRC	-0.033140974	0.422870648	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	KIRP	-0.117543197	0.036211723	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	KIRP	0.059942879	0.286398215	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	KIRP	0.087512891	0.119332036	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	KIRP	0.085352249	0.128757658	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	KIRP	0.062811793	0.26392869	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	KIRP	-0.013344295	0.812528223	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	LAML	-0.381356875	2.82E-07	0.000376017	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	LAML	-0.12704711	0.09575719	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	LAML	-0.05180294	0.498110985	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	LAML	0.15990516	0.035691863	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	LAML	0.362671568	1.12E-06	0.001498506	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	LAML	0.080259675	0.293547185	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	LGG	0.12827247	0.06752205	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	LGG	-0.341536918	6.78E-07	0.000903637	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	LGG	0.249241294	0.000337911	0.450435166	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	LGG	0.085680361	0.222838539	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	LGG	0.340069686	7.61E-07	0.001013998	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	LGG	0.02372165	0.736073343	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	LIHC	-0.332297444	3.48E-12	4.64E-09	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	LIHC	-0.220204176	5.38E-06	0.007172333	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	LIHC	-0.38531346	2.38E-16	3.17E-13	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	LIHC	-0.136647599	0.005005969	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	LIHC	-0.260912937	6.24E-08	8.32E-05	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	LIHC	-0.256467256	1.05E-07	0.000140613	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	LUAD	-0.078325219	0.061900337	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	LUAD	0.197335135	2.20E-06	0.00293669	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	LUAD	-0.268390763	9.08E-11	1.21E-07	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	LUAD	-0.087182916	0.037642303	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	LUAD	-0.608159465	0	0	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	LUAD	-0.369396375	7.76E-20	1.03E-16	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	LUSC	-0.021342531	0.621673642	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	LUSC	0.100710157	0.019614825	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	LUSC	-0.215753412	4.78E-07	0.000636812	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	LUSC	0.188054169	1.19E-05	0.015897513	2	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	LUSC	-0.336849732	1.03E-15	1.37E-12	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	LUSC	-0.343653358	2.49E-16	3.31E-13	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	OV	0.098940504	0.08400543	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	OV	0.095030453	0.097039679	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	OV	-0.196185857	0.000570333	0.760254087	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	OV	0.14951529	0.008806254	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	OV	-0.046252396	0.419910416	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	OV	-0.064080488	0.263612859	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	PAAD	0.107476421	0.174593159	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	PAAD	-0.069320796	0.381847356	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	PAAD	-0.466537267	6.68E-10	8.90E-07	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	PAAD	-0.137502876	0.081976894	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	PAAD	-0.328582931	2.32E-05	0.030908713	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	PAAD	-0.433454106	1.32E-08	1.76E-05	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	PCPG	-0.125961704	0.086686649	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	PCPG	-0.168846112	0.021234083	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	PCPG	0.357309699	6.64E-07	0.000885129	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	PCPG	-0.00750155	0.918990047	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	PCPG	0.291307247	5.90E-05	0.07866197	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	PCPG	0.315278639	1.30E-05	0.017302725	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	PRAD	0.216592636	3.53E-07	0.00047064	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	PRAD	0.176374961	3.56E-05	0.047495782	2	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	PRAD	-0.078038141	0.068696169	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	PRAD	-0.157088748	0.000231651	0.308790706	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	PRAD	-0.366141333	0	0	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	PRAD	-0.236882498	2.41E-08	3.21E-05	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	SARC	0.067962544	0.274702645	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	SARC	0.015052794	0.808994567	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	SARC	0.115356964	0.063296204	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	SARC	0.129955723	0.036298459	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	SARC	-0.06963667	0.263032373	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	SARC	-0.129651212	0.036740969	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	SKCM	-0.03311088	0.472367853	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	SKCM	-0.101649443	0.027100265	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	SKCM	0.221262598	1.25E-06	0.001669504	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	SKCM	0.161156427	0.000440625	0.587353687	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	SKCM	0.047974557	0.297657991	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	SKCM	0.037538334	0.415202348	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	STAD	-0.042266409	0.378492447	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	STAD	-0.160332919	0.000790352	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	STAD	-0.558508771	0	0	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	STAD	-0.184093468	0.000113534	0.151340992	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	STAD	-0.284443341	1.74E-09	2.32E-06	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	STAD	-0.282796844	2.17E-09	2.90E-06	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	TGCT	-0.586983984	0	0	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	TGCT	-0.293213238	0.00022671	0.302203808	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	TGCT	-0.413111415	9.19E-08	0.000122449	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	TGCT	-0.112935452	0.161612369	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	TGCT	-0.704543843	0	0	2	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	TGCT	-0.278241338	0.000455715	0.607467701	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	THCA	-0.04986028	0.235867865	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	THCA	-0.135067443	0.00126466	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	THCA	0.213041675	3.05E-07	0.000405982	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	THCA	0.23499721	1.65E-08	2.19E-05	2	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	THCA	0.125486696	0.002759735	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	THCA	0.030496946	0.468604162	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	THYM	0.497265557	8.98E-09	1.20E-05	2	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	THYM	-0.056714504	0.534429245	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	THYM	-0.285257798	0.001506878	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	THYM	-0.326728813	0.000258236	0.34422899	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	THYM	-0.118514578	0.193278585	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	THYM	0.727943533	0	0	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	UCEC	0.222723369	0.001648785	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	UCEC	-0.081472584	0.253604724	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	UCEC	-0.404958959	4.52E-09	6.02E-06	2	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	UCEC	0.129749656	0.068503786	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	UCEC	-0.260184943	0.000224379	0.299096921	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	UCEC	-0.349453911	4.51E-07	0.000601014	2	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	UCS	-0.10474462	0.437039765	1	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	UCS	0.075058335	0.578003621	1	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	UCS	0.070456313	0.601590656	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	UCS	-0.08192896	0.543605014	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	UCS	-0.370300752	0.004815959	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	UCS	-0.034158673	0.800400899	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
AKT1	UVM	-0.389639006	0.000391182	0.52144542	NA	PI3K	AKT1	19.AKT1	26.AKT1
AKT2	UVM	-0.380965776	0.00053634	0.714941143	NA	PI3K	AKT2	20.AKT2	27.AKT2
AKT3	UVM	0.0104782	0.926413715	1	NA	PI3K	AKT3	21.AKT3	28.AKT3
PIK3CA	UVM	0.360829817	0.001082032	1	NA	PI3K	PIK3CA	22.PIK3CA	29.PIK3CA
PIK3R1	UVM	0.308649789	0.005519377	1	NA	PI3K	PIK3R1	23.PIK3R1	3.PIK3R1
PTEN	UVM	0.058977965	0.602605719	1	NA	PI3K	PTEN	24.PTEN	30.PTEN
EGFR	ACC	-0.046915407	0.683361243	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	ACC	0.222827805	0.050074493	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	ACC	0.048192314	0.674614124	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	ACC	-0.115239191	0.314351385	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	ACC	0.274674692	0.015193374	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	ACC	-0.266960887	0.018395464	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	ACC	-0.168401219	0.140323849	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	BLCA	0.020375405	0.675924929	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	BLCA	0.134893833	0.00548666	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	BLCA	0.154391037	0.001463476	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	BLCA	0.066444255	0.17249256	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	BLCA	0.268804674	1.96E-08	2.61E-05	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	BLCA	-0.493511238	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	BLCA	0.055545303	0.254214854	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	BRCA	-0.289439451	1.40E-24	1.86E-21	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	BRCA	0.143118521	7.50E-07	0.001000119	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	BRCA	0.229869402	1.04E-15	1.38E-12	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	BRCA	-0.047061007	0.104961853	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	BRCA	0.245057279	1.05E-17	1.40E-14	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	BRCA	-0.509129918	2.43E-79	3.23E-76	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	BRCA	0.063531142	0.028548987	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	CESC	0.096753874	0.091108672	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	CESC	-0.003545473	0.950722291	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	CESC	0.092142309	0.107664431	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	CESC	0.109037282	0.056779936	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	CESC	0.241587039	1.94E-05	0.025800683	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	CESC	-0.352152758	3.06E-10	4.07E-07	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	CESC	0.129433975	0.02354726	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	CHOL	-0.570355731	5.87E-05	0.078207956	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	CHOL	0.621607378	8.40E-06	0.011197916	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	CHOL	0.098418972	0.518866831	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
